foodname,エネルギー(kcal),タンパク質(g),脂質(kcal),脂肪酸 飽和(g),n-6系 多価不飽和(g),n-3系 多価不飽和(g),炭水化物(g),食物繊維 総量(g),ビタミンA(μg),ビタミンD(μg),ビタミンE(mg),ビタミンK(μg),ビタミンB1(mg),ビタミンB2(mg),ナイアシン(mg),ビタミンB6(mg),ビタミンB12(μg),葉酸(μg),パントテン酸(mg),ビオチン(μg),ビタミンC(mg),ナトリウム(mg),カリウム(mg),カルシウム(mg),マグネシウム(mg),リン(mg),鉄(mg),亜鉛(mg),銅(mg),マンガン(mg),ヨウ素(μg),セレン(μg),クロム(μg),モリブデン(μg)
french_toast,298.0,10.94,97.83,4.83,1.16,0.11,38.46,1.38,84.41,0.71,0.71,5.58,0.08,0.23,0.81,0.06,0.43,34.6,1.0,9.86,0.5,392.59,173.48,88.37,20.38,150.91,0.9,1.06,0.11,0.15,13.48,25.51,0.64,14.42
pizza,872.0,39.73,321.48,16.83,3.56,0.5,97.9,7.26,236.92,0.4,2.66,14.33,0.45,0.65,10.37,0.5,2.81,102.35,2.05,6.06,47.7,2054.5,759.82,506.81,77.45,826.2,2.81,4.76,0.45,1.1,1.2,5.96,0.25,4.21
breakfast_burrito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fried_calamari,58.0,4.24,7.2,0.0,0.0,0.0,8.56,0.0,1.2,0.0,0.0,0.0,0.04,0.0,0.76,0.0,0.0,0.0,0.0,1.08,0.0,120.0,72.0,6.4,0.0,44.0,0.16,0.0,0.0,0.0,1.6,10.0,1.2,2.4
pork_chop,487.0,29.7,307.08,13.36,4.25,0.38,10.13,0.4,28.22,0.17,1.15,10.71,1.06,0.23,11.15,0.51,0.45,4.72,1.57,7.03,4.65,898.77,549.47,15.4,39.23,282.56,0.74,2.46,0.11,0.06,1.83,33.53,5.8,2.29
bruschetta,115.0,2.06,56.79,0.86,0.53,0.05,12.43,0.73,15.88,0.0,0.62,11.72,0.03,0.01,0.31,0.02,0.0,10.36,0.12,0.71,1.84,514.67,59.96,11.0,7.66,18.92,0.33,0.19,0.04,0.16,0.04,5.94,0.35,4.3
fried_rice,673.0,15.43,188.73,3.49,5.99,1.08,100.05,1.49,114.11,0.63,2.68,29.74,0.11,0.19,1.45,0.15,0.56,41.01,1.34,10.11,4.54,1445.6,267.62,43.76,35.43,228.58,1.19,2.38,0.37,1.0,5.09,13.46,0.3,82.32
poutine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caesar_salad,234.0,4.49,155.88,2.61,3.41,0.57,15.48,1.55,33.42,0.07,2.66,45.34,0.07,0.08,0.48,0.08,0.12,83.22,0.42,2.4,12.58,641.8,266.01,77.72,17.48,80.14,0.63,0.68,0.07,0.22,2.92,5.64,0.37,4.21
frozen_yogurt,74.0,4.32,32.4,2.2,0.1,0.01,5.88,0.0,39.6,0.0,0.12,1.2,0.05,0.17,0.12,0.05,0.12,13.2,0.59,3.0,1.2,57.6,204.0,144.0,14.4,120.0,0.0,0.48,0.01,0.0,20.4,3.6,0.0,4.8
prime_rib,263.0,18.5,175.5,8.79,0.34,0.12,0.3,0.0,10.0,0.5,0.7,5.0,0.07,0.15,4.6,0.34,1.2,6.0,0.79,0.0,1.0,41.0,310.0,3.0,18.0,160.0,1.2,4.4,0.06,0.01,0.0,0.0,0.0,0.0
cannoli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
garlic_bread,110.0,1.99,54.18,3.64,0.26,0.03,11.79,0.62,38.07,0.04,0.15,3.76,0.02,0.01,0.23,0.03,0.01,8.18,0.1,0.44,0.46,177.37,32.29,5.28,4.92,17.15,0.22,0.18,0.03,0.08,0.16,5.82,0.28,4.48
pulled_pork_sandwich,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caprese_salad,252.0,2.12,226.53,3.85,2.22,0.17,6.58,4.22,37.61,0.0,3.66,17.69,0.09,0.17,1.72,0.25,0.0,69.63,1.25,4.72,17.09,396.29,604.27,16.4,29.09,50.73,0.65,0.55,0.2,0.22,0.03,1.13,0.04,2.28
gnocchi,148.0,5.08,12.51,0.63,0.21,0.03,27.98,1.62,13.2,0.01,0.4,1.65,0.09,0.06,1.3,0.16,0.07,18.45,0.54,0.63,24.5,517.1,358.6,48.02,23.42,74.8,0.63,0.55,0.12,0.16,0.01,7.81,3.7,8.0
ramen,416.0,20.55,28.17,0.84,0.84,0.06,72.55,3.8,23.08,0.12,0.36,5.42,0.66,0.24,7.59,0.24,0.84,42.36,1.63,5.36,6.63,4594.28,623.69,73.22,59.66,302.26,1.51,1.02,0.12,0.48,21.39,42.97,1.02,28.2
carrot_cake,220.0,3.45,89.19,1.38,3.1,0.58,28.11,1.08,192.5,0.27,1.35,16.3,0.04,0.08,0.3,0.05,0.14,13.82,0.41,4.67,1.0,62.5,130.76,33.66,6.48,64.2,0.45,0.3,0.05,0.2,2.41,5.78,0.64,3.17
greek_salad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ravioli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ceviche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
